grupo,nome,dominio,url_base,url_patterns,status
,Dalaqua Leilões,https://www.dalaqualeiloes.com.br,,,
,Magliano Leilões,https://www.maglianoleiloes.com.br,,,
,Vix Leilões,https://www.vixleiloes.com.br,,,
,Sevidanes Leiloeira,https://www.sevidanesleiloeira.com.br,,,
,Camila Leilões,https://www.camilaleiloes.com.br,,,
,DCM Leilões,https://www.dcmleiloes.com.br,,,
,De Paula Online,https://www.depaulaonline.com.br,,,
,Ely da Luz Ramos,https://www.elydaluzramos.com.br,,,
,Fabiano Ayupp Leiloeiro,https://www.fabianoayuppleiloeiro.com.br,,,
,Facanha Leilões,https://www.facanhaleiloes.com.br,,,
,Gustavo Reis Leilões,https://www.gustavoreisleiloes.com.br,,,
,Leilões Já,https://www.leiloesja.com.br,,,
,Marco Túlio Leilões,https://www.marcotulioleiloes.com.br,,,
,Porto Leilões,https://www.portoleiloes.com.br,,,
,Rafael Leiloeiro,https://www.rafaelleiloeiro.com.br,,,
,Rápidão Vende,https://www.rapidaovende.com.br,,,
,Ribeiro Borba Leilões,https://www.ribeiroborbaleiloes.com.br,,,
,Ricardo Gomes Leilões,https://www.ricardogomesleiloes.com.br,,,
,Rodrigo Costa Leiloeiro,https://www.rodrigocostaleiloeiro.com.br,,,
,Rodrigo Leiloeiro,https://www.rodrigoleiloeiro.com.br,,,
,Stefanelli Leilões,https://www.stefanellileiloes.com.br,,,
,Uni Leilões,https://www.unileiloes.com.br,,,
,Vecchi Leilões,https://www.vecchileiloes.com.br,,,
,Caiapo Leilões,https://www.caiapoleiloes.com.br,,,
,King Leilões,https://www.kingleiloes.net,,,
,Leiloeiro Eduardo,https://www.leiloeiroeduardo.com.br,,,
,Leilões Anápolis,https://www.leiloesanapolis.com.br,,,
,Lira Leilões,https://www.liraleiloes.com.br,,,
,Norte Leilões,https://www.norteleiloes.com.br,,,
,San Carlo Leilões,https://www.sancarleiloes.com.br,,,
,Teleselima Leilões,https://www.teleselimaleiloes.com.br,,,
,Tríade Leilões,https://www.triadeleiloes.com.br,,,
,Ubaldo Leilões,https://www.ubaldoleiloes.com.br,,,
,Leilões PB,https://www.leiloespb.com.br,,,
,Lilian Portugal,https://www.lilianportugal.com.br,,,
,Peter Longo Leilões,https://www.peterlongoleiloes.com.br,,,
,Aba Leilões,https://www.abaleiloes.com.br,,,
,Casa Forte Leilões,https://www.casaforteleiloes.com.br,,,
,Golden Lance,https://www.goldenlance.com.br,,,
,JV Leilões,https://www.jvleiloes.lel.br,,,
,Portella Leilões,https://www.portellaleiloes.com.br,,,
,Adaiana Garcia Leilões,https://www.adaianagarcialeiloes.com.br,,,
,A. Marques Leilões,https://www.amarquesleiloes.com.br,,,
,Baldissera Leiloeiros,https://www.baldisseraleiloeiros.com.br,,,
,Baldissera Leilões,https://www.baldisseraleiloes.com.br,,,
,Brassiani Leilões,https://www.brassianileiloes.com.br,,,
,Catarina Leilões,https://www.catarinaleiloes.com.br,,,
,Corrêa Quinhones Leilões,https://www.correaquinhonesleiloes.com.br,,,
,Damiani Leilões,https://www.damianileiloes.com.br,,,
,Deltta Leilões,https://www.delttaleiloes.com.br,,,
,Fabiane Baldissera Leilões,https://www.fabianebaldisseraleiloes.com.br,,,
,Fabricca Leilões,https://www.fabriccaleiloes.com.br,,,
,FB Leilões,https://www.fbleiloes.com.br,,,
,F. Pacheco Leilões,https://www.fpachecoleiloes.com.br,,,
,Golden Brazil Leilões,https://www.goldenbrazilleiloes.com.br,,,
,Krobel Leilões,https://www.krobelleiloes.com.br,,,
,Leilões Itamar,https://www.leiloesitamar.com.br,,,
,Licitari,https://www.licitari.com.br,,,
,Maxter Leilões,https://www.maxterleiloes.com.br,,,
,Mazzolli Leilões,https://www.mazzollileiloes.com.br,,,
,Nelci Leilões,https://www.nelcileiloes.com.br,,,
,Oeste Leilões,https://www.oesteleiloes.com.br,,,
,Sampaio Leilões,https://www.sampaioleiloes.com.br,,,
,Saulo Júlio Leiloeiro,https://www.saulojulioleiloeiro.com.br,,,
,Scottini Leilões,https://www.scottinileiloes.com.br,,,
,Suprema Leilões,https://www.supremaleiloes.com.br,,,
,Tai Leilões,https://www.taileiloes.com.br,,,
,Top Leilões,https://www.topleiloes.com.br,,,
,Trombetta Leilões,https://www.trombettaleiloes.com.br,,,
