grupo,nome,dominio,url_base,crawl_urls,include_paths
Plataforma LEL.BR,Ana Clara Leilões,https://www.anaclaraleiloes.lel.br,https://www.anaclaraleiloes.lel.br,https://www.anaclaraleiloes.lel.br|https://www.anaclaraleiloes.lel.br/leiloes|https://www.anaclaraleiloes.lel.br/leiloes/abertos|https://www.anaclaraleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Galpão dos Leilões,https://www.galpaodosleiloes.lel.br,https://www.galpaodosleiloes.lel.br,https://www.galpaodosleiloes.lel.br|https://www.galpaodosleiloes.lel.br/leiloes|https://www.galpaodosleiloes.lel.br/leiloes/abertos|https://www.galpaodosleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Gondolo Leilões,https://www.gondololeiloes.lel.br,https://www.gondololeiloes.lel.br,https://www.gondololeiloes.lel.br|https://www.gondololeiloes.lel.br/leiloes|https://www.gondololeiloes.lel.br/leiloes/abertos|https://www.gondololeiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Jonas,https://www.jonas.lel.br,https://www.jonas.lel.br,https://www.jonas.lel.br|https://www.jonas.lel.br/leiloes|https://www.jonas.lel.br/leiloes/abertos|https://www.jonas.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Luiz Sérgio Pereira,https://www.luizsergiopereira.lel.br,https://www.luizsergiopereira.lel.br,https://www.luizsergiopereira.lel.br|https://www.luizsergiopereira.lel.br/leiloes|https://www.luizsergiopereira.lel.br/leiloes/abertos|https://www.luizsergiopereira.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Martha Padilha Leiloeira,https://www.marthapadilhaleiloeira.lel.br,https://www.marthapadilhaleiloeira.lel.br,https://www.marthapadilhaleiloeira.lel.br|https://www.marthapadilhaleiloeira.lel.br/leiloes|https://www.marthapadilhaleiloeira.lel.br/leiloes/abertos|https://www.marthapadilhaleiloeira.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Moura Azevedo Leilões,https://www.mouraazevedoleiloes.lel.br,https://www.mouraazevedoleiloes.lel.br,https://www.mouraazevedoleiloes.lel.br|https://www.mouraazevedoleiloes.lel.br/leiloes|https://www.mouraazevedoleiloes.lel.br/leiloes/abertos|https://www.mouraazevedoleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Valmir Matos,https://www.valmirmatos.lel.br,https://www.valmirmatos.lel.br,https://www.valmirmatos.lel.br|https://www.valmirmatos.lel.br/leiloes|https://www.valmirmatos.lel.br/leiloes/abertos|https://www.valmirmatos.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Alan Leiloeiro,https://www.alanleiloeiro.lel.br/,https://www.alanleiloeiro.lel.br,https://www.alanleiloeiro.lel.br|https://www.alanleiloeiro.lel.br/leiloes|https://www.alanleiloeiro.lel.br/leiloes/abertos|https://www.alanleiloeiro.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,LeiloBras,https://www.leilobras.lel.br,https://www.leilobras.lel.br,https://www.leilobras.lel.br|https://www.leilobras.lel.br/leiloes|https://www.leilobras.lel.br/leiloes/abertos|https://www.leilobras.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Bernardo Lopes,https://www.bernardolopes.lel.br,https://www.bernardolopes.lel.br,https://www.bernardolopes.lel.br|https://www.bernardolopes.lel.br/leiloes|https://www.bernardolopes.lel.br/leiloes/abertos|https://www.bernardolopes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,De Werk,https://www.dewerk.lel.br,https://www.dewerk.lel.br,https://www.dewerk.lel.br|https://www.dewerk.lel.br/leiloes|https://www.dewerk.lel.br/leiloes/abertos|https://www.dewerk.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Leiloeiros,https://www.leiloeiros.lel.br,https://www.leiloeiros.lel.br,https://www.leiloeiros.lel.br|https://www.leiloeiros.lel.br/leiloes|https://www.leiloeiros.lel.br/leiloes/abertos|https://www.leiloeiros.lel.br/leiloes/proximos,/lote/|/lotes/
